title,author,publisher,price,rating,ratings_count
Life and Freedom. The autobiography of the former president of Armenia and Nagorno-Karabakh,Robert Kocharyan,Альпина ПРО,5.54,5.0,2
Love yourself tender. A book about self-appreciation and self-care,Ольга Примаченко,БОМБОРА,4.93,4.71,14
Crooked House / Скрюченный домишко. Книга для чтения на английском языке,Agatha Christie,,2.89,4.48,23
The Richest Man in Babylon / Самый богатый человек в Вавилоне,Джордж Сэмюэль Клейсон,,3.44,5.0,2
"Алиса в Стране чудес / Alice’s Adventures in Wonderland. Алиса в Зазеркалье / Through the Looking-glass, and What Alice Found There",Lewis Carroll,,2.7,4.41,22
Уютные истории на английском. А1. Читаем с удовольствием и повышаем уровень,,БОМБОРА,2.46,5.0,3
Детективные истории на английском. А1. Читаем с удовольствием и повышаем уровень,Collection,БОМБОРА,2.46,5.0,2
Rings of Gold: Gold Ring of Betrayal / The Marriage Surrender / The Unforgettable Husband,Michelle Reid,,11.62,4.3,2
Eugene Onegin - The Easy Classics Epic Collection (unabridged),"Alexander Pushkin, Gemma Barder",Sweet Cherry Publishing,10.42,5.0,1
The Master and Margarita / Мастер и Маргарита. Книга для чтения на английском языке,Mikhail Bulgakov,,4.53,4.76,21
Грозовой перевал / Wuthering Heights,Emily Brontë,,3.07,4.95,19
The darling / Душечка. Сборник рассказов,Anton Chekhov,,2.68,3.2,4
The Autobiography of Benjamin Franklin,Benjamin Franklin,,2.46,5.0,1
How to Manage Your Emotions:,Drew Anderson,epubli,2.31,4.0,9
"Трое в лодке, не считая собаки. Книга для чтения на английском языке",Jerome K. Jerome,,2.47,4.5,8
To Kill a Mockingbird / Убить пересмешника,Harper Lee,,1.72,3.71,7
The Sorrows of Satan,Marie Corelli,DigiCat,2.31,3.2,19
The Drummond Affair,"Daniel Smith J., Stephanie Matthews",Icon Books,19.47,5.0,1
Tony and Susan,Austin Wright,Atlantic Books,8.1,3.1,1
"A Shot in the Dark - Mydworth Mysteries - A Cosy Historical Mystery Series, Episode 1 (Unabridged)","Matthew  Costello, Neil Richards",Lübbe Audio,5.79,3.0,2
Rich Dad Poor Dad,Robert Kiyosaki,Zack Bowman,4.63,5.0,2
The Frightened Kitten,Holly Webb,Stripes Publishing,4.16,3.0,5
Realm of Dragons,Morgan Rice,,,4.09,23
Languid Hot Chocolate,Niki Sneditova,,,5.0,4
Dickens' Stories About Children Every Child Can Read,Charles Dickens,,,5.0,1
The Portrait of a Lady — Volume 1,Henry James,,,5.0,4
"Lavengro: The Scholar, The Gypsy, The Priest",Borrow George,,,3.0,8
The Perfect Affair,Blake Pierce,,4.93,4.25,4
Fragile People: a Hidden Door into the World of Narcissists,Yulia Pirumova,БОМБОРА,7.15,5.0,1
Скотный двор / Animal Farm,George Orwell,,4.31,4.0,4
Spoken English. МР3,Ю. Б. Голицынский,,5.44,3.73,40
Одноэтажная Америка / Little Golden America,"Ilya Ilf, Yevgeny Petrov",,3.07,5.0,1
1984,George Orwell,,2.7,4.52,23
Foothold For A Loner,Max Glebow,,2.46,4.33,12
Around the World in 80 Days. A2,Jules Verne,,3.44,5.0,4
Little Women / Маленькие женщины,Louisa May Alcott,,3.44,4.83,6
Moby Dick or The Whale / Моби Дик или Белый кит,Herman Melville,,5.17,5.0,1
Martin Eden / Мартин Иден,Jack London,,5.17,4.0,39
Teleportation. Technic. Opportunities. The consequences,Nikolay Lakutin,,6.05,5.0,1
Anne of Green Gables / Энн из Зеленых Мезонинов. Книга для чтения на английском языке,Lucy Maud Montgomery,,4.94,4.56,27
ChatGPT For Writers,Odile Dias,,4.93,4.8,1
English Grammar Book. Version 2.0 (Грамматика английского языка. Версия 2.0). Учебное пособие,Н. Л. Утевская,,6.05,3.75,12
Martin Eden / Мартин Иден,Jack London,,4.31,1.0,1
Ten Little Niggers / Десять негритят,Agatha Christie,,1.96,4.0,11
Death on the Nile / Смерть на Ниле,Agatha Christie,,1.96,5.0,1
The Stylist,Alexandra Marinina,,3.44,3.71,49
1984,George Orwell,,3.94,5.0,3
Учебник шахматных комбинаций 1а,Сергей Иващенко,,3.57,4.5,8
Once Taken,Blake Pierce,,3.69,5.0,7
The Adventures of Tom Sawyer / Приключения Тома Сойера,Mark Twain,,3.44,3.3,3
Endless Night / Бесконечная ночь. Книга для чтения на английском языке,Agatha Christie,,3.51,4.4,5
Самоучитель английского языка №1. Книга 1. Уровень Elementary,"Ю. Б. Голицынский, А. А. Карасев",,3.57,3.58,19
Mara and Morok,Лия Арден,,3.94,4.84,61
Fahrenheit 451 / 451 градус по Фаренгейту,Ray Douglas Bradbury,,1.59,5.0,7
One Flew over the Cuckoo's Nest / Пролетая над гнездом кукушки. Книга для чтения на английском языке,Ken Kesey,,3.23,4.16,44
50 Stories from Russia’s Greatest Authors,"Mikhail Bulgakov, Alexander Pushkin, Leo Tolstoy, Nikolai Gogol, Anton Chekhov, Fyodor Dostoyevsky, Ivan Turgenev, Maxim Gorky, Leonid Andreyev, Aleksandr Kuprin",,3.07,4.75,8
Сияние. The Shining. Аудиокнига,Stephen King,,3.07,1.75,4
The Call of the Wild / Зов предков,Jack London,,3.07,4.83,6
