author,created_date,description,price,publisher,title,rank
Callie Hart,2025-08-27T22:36:47.383Z,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",0.00,Forever,QUICKSILVER,1
Freida McFadden,2025-08-27T22:36:47.512Z,"Abby’s personal assistant, who offers to be her surrogate, also carries an unspeakable secret.",0.00,Poisoned Pen,THE SURROGATE MOTHER,2
Christopher Golden and Brian Keene,2025-08-27T22:36:47.652Z,A short story anthology based on Stephen King’s 1978 novel “The Stand.”,0.00,Gallery,THE END OF THE WORLD AS WE KNOW IT,3
Lauren Asher,2025-08-27T22:36:47.806Z,The third book in the Lakefront Billionaires series. Lily and Lorenzo’s fake relationship comes with baggage.,0.00,Bloom,LOVE ARRANGED,4
Briar Boleyn,2025-08-27T22:36:47.94Z,A dragon rider named Medra Pendragon is captured by vampires and placed inside the dangerous Bloodwing Academy.,0.00,MIRA,ON WINGS OF BLOOD,5
Andy Weir,2025-10-11T07:54:21.023Z,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",0.00,Ballantine,PROJECT HAIL MARY,6
Taylor Jenkins Reid,2025-07-24T03:00:44.554Z,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program.",0.00,Ballantine,ATMOSPHERE,7
Fredrik Backman,2025-10-11T08:22:33.437Z,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.,0.00,Atria,MY FRIENDS,8
Emily Henry,2025-08-27T22:36:48.069Z,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,0.00,Berkley,PEOPLE WE MEET ON VACATION,9
Rebecca Yarros,2025-10-11T08:22:19.248Z,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies.",0.00,Red Tower,ONYX STORM,10
Kristin Hannah,2025-10-15T15:14:21.871Z,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance.",0.00,St. Martin's Griffin,THE NIGHTINGALE,11
Navessa Allen,2025-10-11T08:22:30.133Z,"As Aly and Josh live out their dark fantasies, someone with sinister intentions impinges on them.",0.00,Slowburn,LIGHTS OUT,12
Clare Leslie Hall,2025-10-11T08:22:18.033Z,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.,0.00,Simon & Schuster,BROKEN COUNTRY,13
Shelby Van Pelt,2025-10-11T08:22:39.081Z,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,0.00,Ecco,REMARKABLY BRIGHT CREATURES,14
T. Kingfisher,2025-08-27T22:36:48.203Z,"In this reimagining of “Snow White,” a healer is summoned by a king to use her unconventional methods to save his daughter.",0.00,Tor,HEMLOCK & SILVER,15
Bessel van der Kolk,2025-10-11T08:22:41.191Z,"How trauma affects the body and mind, and innovative treatments for recovery.",0.00,Penguin,THE BODY KEEPS THE SCORE,1
Jonathan Haidt,2025-10-11T08:22:40.842Z,A co-author of “The Coddling of the American Mind” looks at the mental health impacts that a phone-based life has on children.,0.00,Penguin Press,THE ANXIOUS GENERATION,2
James Patterson and Vicky Ward,2025-07-24T03:00:45.988Z,"Investigations into the murders of four University of Idaho students on Nov. 13, 2022.",0.00,"Little, Brown",THE IDAHO FOUR,3
Mark R. Levin,2025-08-06T22:39:28.873Z,The Fox News host considers various facets of power and its effect on history.,0.00,Threshold Editions,ON POWER,4
Michael Harriot,2025-10-11T08:08:38.86Z,A columnist at TheGrio.com articulates moments in American history that center the perspectives and experiences of Black Americans.,0.00,Dey Street,BLACK AF HISTORY,5
Ezra Klein and Derek Thompson,2025-10-11T08:22:40.719Z,A New York Times opinion columnist and a staff writer at The Atlantic evaluate obstacles to American progress.,0.00,Avid Reader,ABUNDANCE,6
Robert B. Reich,2025-08-13T22:37:07.62Z,"An economist who served in three presidential administrations gives his perspective on his generation’s impact on democracy, society and the economy.",0.00,Knopf,COMING UP SHORT,7
Seth Harp,2025-08-27T22:36:48.306Z,An Iraq war veteran and investigative reporter delves into unsolved murders connected to drug trafficking at the Special Operations base.,0.00,Viking,THE FORT BRAGG CARTEL,8
John Green,2025-10-11T08:22:41.558Z,The author of “The Anthropocene Reviewed” chronicles the fight against the deadly infectious disease tuberculosis.,0.00,Crash Course,EVERYTHING IS TUBERCULOSIS,9
Trevor Noah,2025-10-11T08:20:37.766Z,A memoir about growing up biracial in apartheid South Africa by the former host of “The Daily Show.”,0.00,One World,BORN A CRIME,10
Timothy Snyder,2025-10-11T08:22:41.308Z,Twenty lessons from the 20th century about the course of tyranny.,0.00,Crown,ON TYRANNY,11
Jeannette Walls,2025-10-11T08:19:00.072Z,The author recalls how she and her siblings were constantly moved from one bleak place to another.,0.00,Scribner,THE GLASS CASTLE,12
Peter Attia with Bill Gifford,2025-10-11T08:22:41.948Z,A look at recent scientific research on aging and longevity.,0.00,Harmony,OUTLIVE,13
Kelly Weinersmith and Zach Weinersmith,2025-08-06T22:39:22.635Z,The authors of “Soonish” examine the pros and cons of space settlement.,0.00,Penguin,A CITY ON MARS,14
Paul Kalanithi,2025-10-11T07:07:37.887Z,,0.00,Random House,WHEN BREATH BECOMES AIR,15
Callie Hart,2025-08-27T22:36:47.383Z,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",0.00,Forever,QUICKSILVER,1
Briar Boleyn,2025-08-27T22:36:47.94Z,A dragon rider named Medra Pendragon is captured by vampires and placed inside the dangerous Bloodwing Academy.,0.00,MIRA,ON WINGS OF BLOOD,2
Christopher Golden and Brian Keene,2025-08-27T22:36:47.652Z,A short story anthology based on Stephen King’s 1978 novel “The Stand.”,0.00,Gallery,THE END OF THE WORLD AS WE KNOW IT,3
Emily Henry,2025-08-27T22:36:48.069Z,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,0.00,Berkley,PEOPLE WE MEET ON VACATION,4
Taylor Jenkins Reid,2025-07-24T03:00:44.554Z,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program.",0.00,Ballantine,ATMOSPHERE,5
Fredrik Backman,2025-10-11T08:22:33.437Z,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.,0.00,Atria,MY FRIENDS,6
K.X. Song,2025-08-27T22:36:45.791Z,The second book in the Dragon Spirit duology. The sea dragon Qinglong comes to collect what he thinks he is owed by the woman warrior Hai Meilin.,0.00,Ace,THE DRAGON WAKES WITH THUNDER,7
Rebecca Yarros,2025-10-11T08:22:19.248Z,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies.",0.00,Red Tower,ONYX STORM,8
T. Kingfisher,2025-08-27T22:36:48.203Z,"In this reimagining of “Snow White,” a healer is summoned by a king to use her unconventional methods to save his daughter.",0.00,Tor,HEMLOCK & SILVER,9
Clare Leslie Hall,2025-10-11T08:22:18.033Z,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.,0.00,Simon & Schuster,BROKEN COUNTRY,10
